periode,kecamatan,jumlah_penduduk,kasus,kasus_meninggal
1/2016,Banyumanik,"148.624,0","4,0","0,0"
2/2016,Banyumanik,"148.624,0","2,0","0,0"
3/2016,Banyumanik,"148.624,0","5,0","1,0"
4/2016,Banyumanik,"148.624,0","4,0","0,0"
5/2016,Banyumanik,"148.624,0","7,0","1,0"
6/2016,Banyumanik,"148.624,0","5,0","0,0"
7/2016,Banyumanik,"148.624,0","1,0","0,0"
8/2016,Banyumanik,"148.624,0","4,0","0,0"
9/2016,Banyumanik,"148.624,0","6,0","0,0"
10/2016,Banyumanik,"148.624,0","2,0","0,0"
11/2016,Banyumanik,"148.624,0","7,0","0,0"
12/2016,Banyumanik,"148.624,0","8,0","0,0"
1/2016,Candisari,"89.929,0","2,0","0,0"
2/2016,Candisari,"89.929,0","5,0","0,0"
3/2016,Candisari,"89.929,0","5,0","1,0"
4/2016,Candisari,"89.929,0","4,0","1,0"
5/2016,Candisari,"89.929,0","3,0","1,0"
6/2016,Candisari,"89.929,0","5,0","0,0"
7/2016,Candisari,"89.929,0","1,0","0,0"
8/2016,Candisari,"89.929,0","1,0","0,0"
9/2016,Candisari,"89.929,0","1,0","0,0"
10/2016,Candisari,"89.929,0","0,0","0,0"
11/2016,Candisari,"89.929,0","3,0","0,0"
12/2016,Candisari,"89.929,0","2,0","0,0"
1/2016,Gajah Mungkur,"66.687,0","0,0","0,0"
2/2016,Gajah Mungkur,"66.687,0","2,0","1,0"
3/2016,Gajah Mungkur,"66.687,0","2,0","0,0"
4/2016,Gajah Mungkur,"66.687,0","2,0","0,0"
5/2016,Gajah Mungkur,"66.687,0","2,0","1,0"
6/2016,Gajah Mungkur,"66.687,0","1,0","0,0"
7/2016,Gajah Mungkur,"66.687,0","1,0","0,0"
8/2016,Gajah Mungkur,"66.687,0","0,0","0,0"
9/2016,Gajah Mungkur,"66.687,0","0,0","0,0"
10/2016,Gajah Mungkur,"66.687,0","1,0","0,0"
11/2016,Gajah Mungkur,"66.687,0","0,0","0,0"
12/2016,Gajah Mungkur,"66.687,0","0,0","0,0"
1/2016,Gayamsari,"78.639,0","1,0","0,0"
2/2016,Gayamsari,"78.639,0","2,0","0,0"
3/2016,Gayamsari,"78.639,0","2,0","1,0"
4/2016,Gayamsari,"78.639,0","0,0","0,0"
5/2016,Gayamsari,"78.639,0","1,0","0,0"
6/2016,Gayamsari,"78.639,0","1,0","0,0"
7/2016,Gayamsari,"78.639,0","0,0","0,0"
8/2016,Gayamsari,"78.639,0","3,0","0,0"
9/2016,Gayamsari,"78.639,0","2,0","0,0"
10/2016,Gayamsari,"78.639,0","0,0","0,0"
11/2016,Gayamsari,"78.639,0","0,0","0,0"
12/2016,Gayamsari,"78.639,0","2,0","0,0"
1/2016,Genuk,"110.981,0","1,0","0,0"
2/2016,Genuk,"110.981,0","4,0","1,0"
3/2016,Genuk,"110.981,0","5,0","0,0"
4/2016,Genuk,"110.981,0","2,0","0,0"
